app_id;count
945360;22006
238460;1613
477160;7081
285190;9865
1180380;3675
704850;1422
357190;287
4000;22966
683320;1269
379720;6976
748490;82
362890;2373
677120;585
1089980;189
524220;11426
236510;3288
629760;13968
594650;14973
512900;474
678950;3765
503940;1127
364360;10328
582160;8801
476600;10422
823130;5479
283640;1049
1017900;1110
252490;80182
413420;394
779340;9986
55230;2358
728880;2582
621060;1741
723390;1126
526870;1241
284160;2453
425580;248
485510;4771
355790;580
346110;84766
40800;1448
772540;665
1144400;30
400940;278
428690;3055
1190460;2888
374320;14808
420290;3528
334040;1304
513710;13128
1015500;2200
221640;684
626690;3067
782330;10974
648800;7913
546050;737
385560;113
518790;9788
445220;691
960090;2060
787480;214
571740;1370
227300;9687
863550;4665
270880;2934
686600;931
460930;11858
1229490;26
212680;2229
447530;526
620980;1790
1113000;1100
583950;12226
428550;491
413150;6865
551730;243
8930;6607
504230;703
613100;3153
282560;4004
541210;389
262060;8372
637670;592
609320;511
510510;577
221380;3892
258180;2367
391220;5631
620;2859
306130;17579
312660;2976
644930;4793
594570;5555
247240;421
236850;10687
292030;9143
1158310;2693
1289310;1623
105600;14074
8870;5057
569860;174
275850;56537
899440;949
291860;414
731490;729
858210;65
72850;15511
255710;10529
598330;585
792990;1365
239030;1333
427520;1171
673950;758
620590;1126
294100;1598
271590;187805
560130;1501
593600;2341
225540;16911
681660;6326
857980;462
632350;535
247730;10219
589360;1160
701160;787
269950;910
788260;1880
391540;5235
1170880;83
1055540;50
412830;219
502800;198
447820;3587
304390;32209
619080;4979
390340;1798
787860;2838
666140;2091
242760;13023
464920;2279
526160;1549
648350;6042
219150;1584
489830;15950
205100;1512
1291340;98
637090;4119
405710;735
619290;106
242920;3428
1128000;9996
1222700;1175
107410;17497
417290;254
493340;4173
264200;284
501080;411
537800;857
552520;19190
644560;1614
435150;4449
397540;10921
424840;1647
339800;895
322330;8755
427290;3283
200900;363
543460;2063
268910;2532
394360;9807
292730;10762
814380;6421
253230;661
530070;1470
583470;143
203160;6721
281990;12801
637650;6328
730310;5369
585420;653
825630;113
758190;471
47890;3341
1145360;1331
268500;8904
544750;1579
631510;302
555220;345
429660;833
812140;10733
239140;10884
206440;1848
204360;2950
611760;15
7510;1085
433340;1460
250900;2320
252950;49101
646910;8120
418370;2344
590380;656
636480;1106
773951;2146
517630;7680
466560;4052
240;4651
332200;277
457140;2131
352550;1541
527230;1897
677160;759
574050;177
508440;1037
420530;360
70;2008
638970;2001
264710;6339
732810;146
646570;1816
572410;1387
481510;637
582010;45550
323190;5451
595520;461
240720;5656
356190;7834
673880;595
2870;4031
48700;2855
214950;9108
743450;572
688130;360
1240210;128
531510;181
286160;1426
297130;1147
289070;24743
883710;2298
696170;682
288160;372
548430;2237
382310;1103
367520;8574
431960;5365
206190;306
440900;13807
447040;8501
817130;853
272270;1096
238320;2556
753650;447
207610;1669
454200;111
570940;5210
872790;1644
312530;1007
582660;9107
712100;3368
1225330;10217
274190;1178
32470;591
671510;1625
495560;610
606280;2457
640820;4404
736260;207
1056960;4056
218620;59611
613830;576
1118200;324
760060;1507
524580;319
311690;2160
113200;2132
250320;574
381210;73315
552500;11947
377160;49745
214560;465
379430;13674
543900;1436
739630;5366
213670;1102
35140;1187
275390;409
250760;451
233860;2273
671440;689
629910;741
413410;509
489940;6142
393520;329
841370;13586
519860;200
690830;999
39210;3708
577800;13253
1057090;2064
753420;479
219740;2709
420;796
581320;10757
535930;2015
421020;2677
322110;261
834910;19920
698780;4714
502280;337
359550;99521
578080;757838
337340;230
341800;175
546560;671
875210;3434
588650;2108
